URL,Name,Citation,Department,Title,Edu1,Edu2,Edu3,PhD_School,PhD_Major,BA_School,BA_Country,US or Not,Rank,Current
https://www.gsb.stanford.edu/faculty-research/faculty/katherine-e-casey,Katherine Casey,1854,Political Economy,Professor of Political Economy,,,,Brown,Economics,Northwestern,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/jung-ho-choi,Jung Ho Choi,254,Accounting,Assistant Professor of Accounting,"PhD, Accounting, University of Chicago Booth School of Business, 2017","MA, Statistics, Columbia University, 2012","Bachelor of Economics, Korea University, 2005",Chicago,Accounting,Korea University,Korea,Non-USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/julien-clement,Julien Clement,319,Organizational Behavior,Assistant Professor of Organizational Behavior,"PhD in Strategy, INSEAD, 2018","MSc, CEMS International Management, 2011","BS in Business Administration, University of Paris-Dauphine, 2009",INSEAD,Strategy,University of Paris-Dauphine,France,Non-USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/antonio-coppola,Antonio Coppola,358,Finance,Assistant Professor of Finance,"PhD in Economics, Harvard University, 2022","AB Summa Cum Laude in Applied Mathematics, 2016",,Harvard,Economics,Harvard,USA,USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/ed-dehaan,Ed deHaan,3101,Accounting,Professor of Accounting,"PhD in Accounting, University of Washington, 2013","MA in Economics, San Francisco State University, 2008","BA in Business Management Economics, UC Santa Cruz, 2002", University of Washington,Accounting,UC Santa Cruz,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/peter-m-demarzo,Peter M. DeMarzo,17237,Finance,The John G. McDonald Professor of Finance,"PhD, Stanford University, 1989","MS, Stanford University, 1985","BA, UC San Diego, 1984",Stanford,,UC San Deigo,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/sebastian-di-tella,Sebastian Di Tella,508,Economics,Associate Professor of Economics,"PhD in Economics, MIT, 2013","BA in Economics, Universidad de Buenos Aires, 2006",, MIT,Economics,Universidad de Buenos Aires,Argentina,Non-USA,Associate,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/rebecca-diamond,Rebecca Diamond,4038,Economics,The Class of 1988 Professor of Economics,"PhD in Economics, Harvard University, 2013","MA in Economics, Harvard Univeristy, 2011","BS in Physics, 2nd major in Economics & Mathematics, Yale, 2007",Harvard,Economics,Yale,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/yu-ding,Yu Ding,148,Marketing,Assistant Professor of Marketing,"PhD in Marketing, Columbia University, 2022","MS in Statistics, National University of Singapore, 2016","BA (with Honors) in Marketing, Fudan University, 2013",Columbia,Marketing,Fudan University,China,Non-USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/kwabena-baah-donkor,Kwabena Baah Donkor,11,Marketing,Assistant Professor of Marketing,"PhD in Agricultural & Resource Economics, UC Berkeley, 2020","MS Agricultural & Resource Economics, UC Berkeley, 2016","MA Economics, Hunter College (CUNY), 2014",Berkeley,Agricultural and Resource Economics,CUNY,USA,USA,Assistant,Stanford
